source,all_jobs,jobs_posted_in_7_days,companies,companies_posted_jobs_in_7_days,updated_date,last_update,string_date
Glints,7458,2078,1503,676,2022-04-14 08:20:08.987828,1,2022-04-13
TopCV,34517,20952,7036,7002,2022-04-14 08:20:08.987828,1,2022-04-13
Vietnamwork,11808,3299,4818,1922,2022-04-14 08:20:08.987828,1,2022-04-13
Careerbuilder,25885,2709,3304,1036,2022-04-14 08:20:08.987828,1,2022-04-13
Itviec,2344,1302,1066,645,2022-04-14 08:20:08.987828,1,2022-04-13
ITNavi,662,523,361,263,2022-04-14 08:20:08.987828,1,2022-04-13
